buyer_id,first_name,last_name,age,city_id,marital_status_id,job_id,buyer_area_code,buyer_phone_number
70,Jose,Barrett,78,234,2,368,581,232-9917
71,Rebecca,Sandoval,53,72,4,96,613,822-4257
72,Brenda,Hogan,71,273,4,249,403,541-5205
73,Brittany,Le,76,300,1,129,579,187-5644
74,Jennifer,Price,26,205,1,257,587,556-6846
75,James,Peters,80,365,2,259,709,168-5537
76,William,Webb,65,64,5,296,343,792-6109
77,John,Harris,64,266,3,137,867,516-1704
78,Stephen,Johnson,57,230,2,93,548,696-6940
79,Nathan,Leon,57,146,5,407,416,488-9623
80,Laura,Powell,18,302,3,186,905,962-7955
81,Dylan,Barber,77,287,3,85,365,384-2982
82,Brittany,Long,37,128,3,338,825,387-9764
83,Derrick,Miller,18,329,2,162,204,595-3247
84,Keith,Brown,74,7,1,380,226,719-5845
85,Stacey,Lane,27,312,5,266,873,189-7060
86,Susan,Jimenez,25,253,3,61,587,200-6327
87,Heidi,Cole,56,256,2,275,403,849-5457
88,David,Beltran,53,150,3,380,289,468-7672
89,Derek,Stewart,53,146,2,255,418,853-1996
90,Kenneth,Lozano,20,341,1,280,418,325-3818
91,Melanie,Kelly,81,317,3,43,431,981-6054
92,Allen,Duran,30,119,3,23,506,769-3226
93,Richard,Johnson,42,206,4,146,867,441-9514
94,Stacy,Scott,59,165,5,98,514,543-3931
95,Michael,Robinson,75,288,2,339,647,207-7057
96,Mark,Hamilton,42,315,4,414,639,448-9141
97,Ann,Thompson,77,350,2,32,867,204-8308
98,Ethan,Cruz,57,195,4,46,639,348-4350
99,Amanda,Sherman,54,5,5,109,902,428-2604
100,Daniel,Curtis,76,117,4,18,709,204-7609
101,Jane,Buck,39,280,3,297,506,706-8667
102,Timothy,Bates,37,158,3,70,867,982-5973
103,Brian,Smith,25,245,3,63,867,741-1627
104,Denise,Robinson,31,15,2,102,514,213-4124
105,Holly,Robertson,28,255,1,45,437,358-7510
106,Nicole,Collins,64,188,5,247,249,466-7783
107,Mary,Mitchell,36,125,5,17,905,855-2120
108,Alyssa,Wolf,56,18,2,401,306,862-4654
109,Joseph,Torres,50,53,1,58,418,988-7335
110,Diana,Trujillo,38,122,4,34,867,895-8765
111,Jennifer,Johnson,74,340,5,57,548,338-7003
112,Margaret,Lucas,41,360,2,79,438,754-1667
113,Vanessa,Roberts,28,152,3,16,548,476-1774
114,Samantha,Cook,23,126,2,127,367,529-6049
115,Joseph,Griffin,30,224,5,153,819,420-5950
116,Andrew,Pena,63,29,3,159,450,361-2564
117,Stephanie,Perez,47,248,3,232,416,351-5500
118,Cory,Gomez,61,364,5,138,825,606-1060
119,Mallory,Pena,64,339,4,286,437,576-7173
120,Zachary,Ryan,72,218,1,182,902,903-1852
121,Lindsay,Salazar,50,124,2,422,506,795-9970
122,Anna,Palmer,35,162,2,187,249,966-3537
123,Jason,Russell,43,344,2,287,613,513-8464
124,Jessica,Reed,63,255,5,231,548,631-8456
125,Debra,Rios,23,181,5,2,579,161-7142
126,Robin,Jones,64,100,4,66,365,838-6987
127,Diane,Parsons,20,158,2,163,250,374-6483
128,Seth,Black,63,125,3,247,431,556-1486
129,Emily,Williams,68,142,2,285,416,764-9128
130,Shannon,Allen,38,164,5,33,249,361-8256
131,Nicholas,Erickson,21,243,2,312,905,802-3309
132,Amanda,Schmidt,65,122,4,326,548,929-8660
133,Tina,Miller,67,160,4,141,780,798-9864
134,Wayne,Gallegos,36,384,1,297,778,629-1818
135,Cheryl,Elliott,36,117,3,164,613,963-7686
136,Patricia,Collins,26,302,1,416,647,278-7749
137,Clayton,Wheeler,31,216,2,287,639,152-7947
138,Crystal,Keller,32,256,2,42,306,574-8664
139,Janet,Stafford,64,283,5,116,604,455-3656
140,Anthony,Murray,79,216,5,420,581,864-5004
141,Ann,Clay,20,189,2,186,289,844-5192
142,Theresa,Lewis,79,205,3,274,365,440-1926
143,William,Young,68,305,2,276,604,944-5988
144,Paula,Williams,64,142,1,131,587,259-8431
145,Mary,Figueroa,80,338,5,175,705,862-9929
146,Danielle,Stokes,52,24,4,211,819,831-5346
147,Heather,Hughes,75,120,1,394,250,347-5362
148,Joshua,Gentry,29,263,1,7,581,483-8355
149,Christine,Haas,77,346,4,383,437,334-2426
150,Tony,Cooper,66,153,4,106,709,673-8580
151,Lori,Miller,24,301,3,187,236,687-8319
152,Deborah,James,40,274,5,270,548,503-5545
153,Melanie,Roberson,56,174,1,275,519,224-5226
154,Matthew,Daugherty,29,146,2,63,639,612-9034
155,Zachary,Sheppard,41,296,4,239,236,516-5090
156,Katie,Moore,27,369,4,80,604,884-6867
157,James,Gomez,53,225,5,262,437,156-7269
158,Brittany,Williams,25,176,4,322,902,355-3017
159,David,Robbins,56,68,3,274,289,426-3249
160,Brandon,Rubio,51,19,1,377,902,291-7280
161,Daniel,Baker,63,103,1,243,306,188-4997
162,Amy,Smith,61,127,5,347,249,778-6360
163,Zachary,Morrison,40,335,4,375,647,626-4442
164,Tara,Wise,44,240,1,256,416,111-1719
165,Grace,Christian,77,357,5,395,416,346-7014
166,Bonnie,Diaz,32,277,4,363,825,371-6105
167,Clifford,Scott,31,45,3,30,250,512-6835
168,Loretta,Mays,72,366,5,308,905,305-3407
169,Christopher,Sandoval,81,171,4,319,367,406-1879
170,Brooke,Evans,66,283,3,50,204,540-1429
171,Steven,Scott,50,278,1,382,639,832-5109
172,Shannon,Thomas,33,250,1,229,579,706-2283
173,Kenneth,Carter,53,272,1,223,639,296-4745
174,Roberto,Frye,34,230,3,103,250,903-7965
175,Christopher,Young,33,25,4,69,416,542-3887
176,Lisa,Arroyo,43,299,2,379,418,115-9565
177,Phillip,May,54,124,1,86,403,562-7144
178,Sandra,Anderson,52,276,3,137,289,815-8445
179,Cody,Lang,72,249,2,131,367,925-1796
180,David,Rose,24,144,1,19,782,415-6625
181,Jimmy,Henson,50,53,5,145,613,656-1798
182,Michael,Marsh,59,345,1,360,204,525-9142
183,Barbara,Short,23,212,2,297,825,689-7653
184,Richard,Morgan,61,351,1,322,418,598-2244
185,Misty,Rivas,54,136,5,216,825,841-7713
186,Rebecca,Gibson,56,123,2,121,403,802-5865
187,Albert,Watkins,61,253,4,340,403,539-3416
188,Catherine,Mccullough,65,55,4,181,782,906-2097
189,David,Chaney,76,122,3,344,819,360-6295
190,John,Lyons,62,341,5,93,639,657-4585
191,Danielle,Clark,52,184,4,34,581,135-7306
192,Amy,Thompson,31,276,1,422,519,293-2308
193,Jonathan,Knight,21,190,5,146,613,166-3943
194,Glenn,Lozano,49,122,2,375,819,364-8710
195,Michael,Vasquez,67,81,2,116,807,978-6036
196,David,Ward,47,196,2,318,306,742-7873
197,Jessica,Clark,21,150,3,284,613,103-3200
198,Nicole,Bradley,28,354,4,366,519,145-9722
199,Jared,Perez,38,310,3,176,343,566-6931
200,Kayla,James,20,126,5,291,519,806-2712
201,Mark,Marshall,24,149,2,193,639,287-7695
202,Vicki,Johnson,41,323,3,131,807,328-7305
203,Joseph,Garcia,27,164,5,88,639,570-1420
204,Jenny,Davis,59,333,2,113,450,444-5045
205,Stephen,Gill,79,309,3,32,506,508-1431
206,Pamela,Santiago,70,102,2,231,819,264-4566
207,Kenneth,Lambert,64,142,4,121,236,834-9631
208,Stephen,Stephens,46,207,5,78,367,223-2091
209,Barry,Rodgers,46,167,1,125,306,786-7874
210,Amber,Cole,28,391,3,360,807,436-8892
211,Linda,Ayala,80,218,2,353,873,464-1570
212,Natasha,Hendricks,74,327,5,409,873,375-3197
213,Randy,Mendoza,67,343,2,116,778,996-6373
214,Allison,Johnson,60,45,3,362,226,457-9074
215,Jonathan,Madden,36,365,1,246,873,917-8707
216,Michael,Lee,45,185,5,264,705,396-4198
217,Larry,Juarez,50,239,2,168,819,885-6603
218,Sara,Adams,61,131,1,227,250,400-2366
219,Anthony,Gray,44,325,3,162,647,351-3091
220,Justin,Dickson,79,193,5,396,365,314-3356
221,Adam,Chang,41,144,5,372,639,502-3764
222,Paul,Nielsen,32,306,5,341,905,123-4377
223,Cody,Johnson,71,190,5,73,581,178-9678
224,Pamela,Martin,52,114,1,387,236,200-6470
225,Robert,Rivera,69,153,3,317,289,953-6337
226,Brianna,Gomez,64,132,5,111,780,349-6636
227,Donna,Hines,50,206,4,202,249,108-2290
228,Joseph,Jenkins,44,118,4,52,613,453-6102
229,Corey,Mcintosh,45,389,2,268,514,908-5643
230,Troy,Moore,30,178,2,163,867,982-2879
231,Amy,Rodriguez,28,154,2,229,204,909-3898
232,Zachary,Fuentes,74,205,4,229,905,351-6734
233,Erik,Blackwell,46,283,5,32,579,127-5508
234,Richard,Callahan,47,257,2,288,579,432-4428
235,Randy,Wilson,60,286,2,27,226,528-2109
236,Tristan,Roberson,77,191,4,352,778,633-8289
237,Helen,Buckley,58,371,2,240,581,158-2517
238,Erin,White,62,35,3,80,403,283-3233
239,Victoria,Hays,79,222,4,326,782,184-4340
240,Heidi,Macias,81,293,3,54,778,521-7299
241,Christian,Mack,34,374,4,412,514,694-1679
242,Taylor,Ross,50,374,2,173,204,859-6713
243,Danielle,Roberts,47,79,1,364,403,958-8558
244,Rebecca,Herrera,24,234,5,265,506,439-4666
245,Margaret,Robles,29,172,4,264,519,344-8818
246,William,Smith,74,149,1,257,780,325-8226
247,Christina,Kaufman,68,108,4,342,709,107-9092
248,Rodney,Gordon,55,227,2,321,778,625-3531
249,Lisa,Thomas,19,114,1,177,365,359-3540
250,Anthony,Landry,37,313,2,358,343,457-6715
251,Olivia,Graham,48,162,1,333,825,863-6283
252,Andrea,Davis,44,82,5,313,705,103-3105
253,Aaron,Brown,64,130,1,181,647,846-1534
254,Lisa,Miller,64,99,2,181,249,345-6417
255,Justin,Davenport,29,365,2,24,709,403-7448
256,Brandon,Stephens,33,290,3,21,438,976-7477
257,Connie,Smith,45,182,5,97,450,225-2129
258,Eric,Bowen,42,101,3,265,438,914-6624
259,Zachary,Williams,76,31,4,66,705,965-1752
260,Benjamin,King,57,107,5,392,249,582-9372
261,Valerie,Garcia,35,181,4,253,431,251-5942
262,Tasha,Ayala,67,206,3,391,705,454-1107
263,Michael,Davis,65,140,3,403,450,188-9400
264,Kimberly,Zhang,75,178,4,97,226,447-6909
265,Amy,Bell,25,286,1,41,709,857-8111
266,Scott,Smith,28,310,4,247,639,266-3330
267,Heather,Jacobson,38,165,3,118,249,536-5869
268,Daniel,Wilkinson,78,180,5,58,613,402-9630
269,Rebecca,Smith,58,236,2,389,367,225-1701
270,Mary,Rose,55,291,1,387,416,710-2331
271,Rachel,Perry,24,277,5,332,902,197-2482
272,David,Martinez,62,265,2,141,289,333-8191
273,George,Armstrong,51,202,2,346,819,877-6364
274,Carl,Stevens,71,341,4,115,506,998-9278
275,Jacqueline,Garcia,38,357,2,286,780,595-9572
276,Meghan,Hayes,53,360,3,118,825,988-6483
277,Vanessa,Ford,64,361,4,247,579,759-3710
278,Stephanie,White,64,133,1,36,416,321-7144
279,Emily,Espinoza,64,36,5,150,438,480-4363
280,Antonio,Cox,31,123,1,413,343,871-1249
281,Lindsey,Rivera,65,113,2,32,403,856-7868
282,Christina,Nguyen,31,191,5,125,613,787-7136
283,Caitlin,Rice,59,344,4,335,306,680-4283
284,Ronald,Saunders,72,371,5,344,506,169-2261
285,Daniel,Turner,22,7,4,228,367,855-5643
286,William,May,68,143,5,227,819,243-1022
287,Ryan,Wilson,45,60,3,91,506,688-7137
288,Miguel,Coleman,55,293,2,354,506,342-4117
289,Donna,Austin,52,329,5,184,867,531-4973
290,Gregory,Myers,45,230,3,328,249,758-2835
291,Timothy,Burns,39,10,5,268,450,430-7768
292,Kayla,Burns,69,317,5,152,905,501-1958
293,Jennifer,Martinez,55,146,4,333,587,665-7878
294,Robin,Ray,59,316,1,211,709,420-4992
295,Tyler,Warner,63,180,2,332,581,964-2731
296,Christine,Williams,20,369,3,105,204,970-4537
297,Carol,Barron,62,287,1,264,705,200-2337
298,Alyssa,Chandler,52,116,3,94,367,956-4426
299,Tina,Nicholson,51,336,1,166,249,354-1582
300,Angela,White,39,81,1,43,250,290-7199
301,Nicole,Peck,60,16,4,149,807,720-4380
302,Douglas,Ford,56,50,5,334,579,453-1583
303,Danielle,Tran,52,118,1,349,604,548-9337
304,Miranda,Johnson,22,324,3,49,226,766-6686
305,Keith,Stone,48,344,4,86,249,787-2059
306,Louis,Delgado,36,141,3,155,418,263-4067
307,Maria,Logan,61,153,2,122,367,346-6146
308,Michael,Rowe,38,19,4,252,819,528-1600
309,Ann,Zimmerman,76,133,3,217,403,354-7532
310,Robert,Frye,47,108,3,185,613,538-4762
311,John,Green,69,177,1,77,581,843-8297
312,Margaret,Galvan,49,108,2,52,902,244-6437
313,Crystal,Morton,47,123,5,371,506,675-8921
314,Michelle,Ortiz,26,129,5,293,807,626-7757
315,Joy,Deleon,78,230,2,183,438,546-4187
316,James,Gordon,55,185,4,49,807,388-5304
317,Donna,Burgess,71,298,5,161,365,950-1606
318,Michelle,Robinson,28,308,5,382,604,904-6498
319,Anna,Roberts,42,318,3,336,514,639-4444
320,George,Weber,63,370,1,313,289,117-4329
321,David,Rios,64,330,5,258,343,964-4566
322,Jason,Torres,77,304,4,118,306,651-9353
323,Patrick,Davis,40,110,2,119,825,707-4805
324,Daniel,Gallegos,37,198,4,224,639,260-2765
325,Mark,Roberts,34,347,5,272,579,175-5775
326,Carol,Huerta,50,285,1,96,306,587-2554
327,Tara,Vargas,69,113,5,219,905,128-7628
328,Stephanie,Bailey,48,209,5,186,367,791-2109
329,Steven,Davis,75,291,2,271,438,132-8649
330,David,Wells,81,325,5,71,705,492-4564
331,James,Henry,47,313,5,27,514,591-6509
332,Derek,Rodgers,71,179,2,402,365,902-2977
333,Robert,Williams,32,285,5,76,709,973-8246
334,Craig,Reed,18,128,2,430,403,251-7924
335,Destiny,Valdez,62,132,3,73,548,476-9099
336,Glen,Combs,66,125,4,19,514,938-1110
337,Bradley,Guzman,21,325,1,362,365,749-7051
338,Jeffery,Hernandez,52,189,1,354,519,838-6954
339,Walter,Smith,49,362,4,258,416,423-9394
340,Jodi,Matthews,74,285,1,262,450,954-7477
341,Kaitlyn,Estrada,60,225,5,164,306,399-2164
342,Andrew,White,29,120,5,307,514,605-8285
343,Joshua,Frey,57,49,3,31,416,883-5869
344,Sean,Johnson,63,350,4,416,343,181-4604
345,Elizabeth,White,18,179,2,304,365,825-7197
346,Nicole,Johnson,21,323,3,142,236,157-5101
347,David,Macdonald,70,293,3,234,226,894-2038
348,Paula,Swanson,61,150,2,172,343,393-8148
349,Jennifer,Fleming,78,165,4,429,416,692-6227
350,Jeffrey,Rodriguez,54,146,4,284,587,364-9037
351,Margaret,Webster,71,227,4,134,548,424-1473
352,Luis,Johnson,34,329,2,15,705,697-4010
353,Michelle,Gallagher,51,132,1,268,780,196-8707
354,Katelyn,Porter,54,153,5,361,604,177-7106
355,Stephanie,Johnson,30,107,3,54,437,628-3754
356,Karl,Lee,31,302,1,317,506,214-3645
357,Vincent,Love,24,309,1,228,639,826-1396
358,Christopher,Coleman,75,127,3,333,579,565-7526
359,Denise,Orozco,36,182,5,169,905,863-9528
360,Rebecca,Peterson,43,241,2,318,416,106-4469
361,Kathryn,Berry,31,18,4,37,306,519-4317
362,Jacob,Moore,48,301,2,278,431,801-9953
363,Toni,Rodriguez,78,63,2,309,782,185-9657
364,Ashley,Pittman,21,242,2,33,236,678-3127
365,Michael,Pham,37,283,2,375,639,964-7943
366,Michelle,Watts,73,124,5,176,639,855-1776
367,Michael,Camacho,28,273,5,203,705,437-8950
368,Tracy,Hickman,30,245,5,246,548,816-9915
369,Kevin,Martin,63,207,5,9,289,126-9118
370,Alexandra,Fowler,18,67,5,314,825,625-7686
371,Jeffrey,Mahoney,32,275,3,305,873,779-4235
372,Curtis,Hall,60,59,3,71,249,435-2814
373,Mark,Lee,30,329,1,65,418,750-6968
374,Sonya,Jacobs,33,256,5,157,705,914-6625
375,Scott,Clark,69,245,2,259,438,296-1544
376,James,Vasquez,75,182,5,394,647,549-1999
377,Patrick,Olson,35,234,5,175,514,142-1495
378,Joseph,Carter,68,291,1,359,343,524-2121
379,Donald,Curry,50,135,2,52,450,406-2684
380,Eileen,Lowe,67,164,5,207,902,848-9407
381,Vincent,Harvey,23,71,2,380,506,510-9370
382,Julie,Davis,58,370,1,429,778,492-8337
383,Alisha,Salas,30,104,3,76,825,216-3956
384,Elizabeth,Cherry,69,133,1,366,519,651-4001
385,Kayla,Morrow,51,291,2,302,514,433-3423
386,Kathryn,Garrett,73,335,5,191,579,472-9111
387,John,Fisher,71,328,4,173,416,921-9859
388,Stephanie,Reese,25,125,5,427,867,837-9856
389,Jessica,Richard,44,29,3,423,431,634-2871
390,Monica,Fowler,73,139,4,338,343,241-5359
391,Krystal,Mcgrath,54,345,4,362,613,931-6589
392,Vernon,Bates,77,364,4,140,778,295-4799
393,Brittney,Medina,67,185,1,374,226,163-8134
394,Sandra,Garcia,61,348,5,36,807,192-5305
395,Kathleen,Boone,19,274,3,55,431,113-2045
396,Holly,Robinson,69,287,3,29,581,246-3338
397,Robert,Reeves,68,118,4,242,613,139-4507
398,Nicole,Odom,78,171,5,229,506,949-9233
399,Danielle,Williams,38,156,1,162,306,241-6333
400,Timothy,Wilson,38,322,1,41,438,486-9189
401,Gregory,Adams,70,246,4,39,514,691-6331
402,Jessica,Miller,53,271,3,105,825,331-9382
403,Vincent,Vincent,29,270,2,349,236,661-2043
404,Christopher,Clark,19,327,3,336,709,835-6801
405,Natasha,Ortiz,80,285,3,382,778,823-2395
406,Matthew,Soto,51,330,2,137,289,906-7556
407,Amanda,Knight,47,238,5,388,873,488-8967
408,Mallory,Brewer,22,350,5,152,204,819-7858
409,Marcus,Acosta,30,321,2,133,905,692-4693
410,Julie,Smith,76,43,3,278,226,806-3352
411,Madison,Huff,61,9,2,192,705,698-7450
412,Rachel,Lloyd,20,365,4,178,343,515-3653
413,Tina,Moss,69,117,1,264,709,834-7398
414,Kristy,Flores,46,336,1,87,250,991-9451
415,Brian,Rangel,35,106,1,55,548,514-6967
416,Andrew,Farmer,72,121,5,253,604,919-3290
417,Michele,Jackson,76,261,3,16,236,888-1104
418,Barbara,Reynolds,31,304,4,70,905,629-4309
419,Katherine,Stokes,27,391,2,391,807,731-7283
420,Alexander,Peck,30,129,5,282,289,566-4864
421,Jeff,King,76,216,2,9,604,932-4783
422,Gail,Sharp,58,159,2,30,343,559-2270
423,Michelle,Garcia,20,101,1,428,902,938-4741
424,Teresa,Bennett,63,245,2,248,778,627-1774
425,Susan,Spears,55,281,3,140,705,408-9417
426,Maureen,Clark,79,178,1,236,204,984-1309
427,Gregory,Winters,39,136,2,354,204,831-9966
428,Rhonda,Ramirez,30,184,3,42,204,975-8357
429,Mary,Klein,59,133,4,182,825,954-3085
430,Julia,Adams,52,240,2,194,587,548-1149
431,Dustin,Anderson,26,340,1,356,236,285-1035
432,Yolanda,Chaney,68,27,4,191,450,166-3077
433,Robert,Knight,49,346,2,254,416,853-5955
434,Aaron,Jackson,56,116,2,199,778,334-4407
435,Lisa,Stanley,61,230,4,19,548,878-9913
436,Katie,Warren,61,187,3,6,807,546-7730
437,Thomas,Chavez,28,111,3,240,343,787-5726
438,Joseph,Evans,73,310,2,381,548,730-5373
439,Michael,Mcclain,23,211,2,350,867,502-6867
440,Jerome,Farrell,54,269,3,257,306,387-3173
441,Joshua,Smith,78,206,1,163,367,514-8607
442,James,Stone,81,331,4,369,418,608-1394
443,Emily,Ortiz,22,111,3,271,514,484-8246
444,David,Martin,25,311,5,396,705,867-9188
445,Erica,Cervantes,62,327,2,327,438,916-7688
446,Omar,Black,23,274,3,116,905,884-5434
447,Deborah,Morales,64,268,1,204,431,371-4297
448,Kevin,Washington,31,174,3,11,437,152-1371
449,Christina,Carey,33,159,2,295,249,127-5137
450,Manuel,Parker,48,127,1,169,705,466-2969
451,Kristine,Miller,24,128,1,375,709,872-3709
452,Courtney,Cook,75,324,2,335,438,868-1997
453,Christopher,Dominguez,70,188,5,302,780,116-9507
454,James,Wiley,50,42,5,266,506,433-4435
455,Gary,Bradford,76,312,3,122,807,892-3914
456,Robert,Olsen,21,321,2,172,450,808-5501
457,Benjamin,Sanchez,23,299,1,416,343,622-3334
458,Ruth,Watts,54,326,3,111,431,230-3941
459,Sarah,Johnson,31,113,1,119,782,271-4513
460,Vincent,Parker,54,355,2,62,437,931-1379
461,Alexander,Campbell,43,340,2,357,431,139-5357
462,Devin,Richardson,22,136,3,251,905,197-6082
463,David,Lynch,36,204,2,385,905,870-1352
464,Elizabeth,Chavez,23,285,2,165,873,700-4859
465,Nancy,Martinez,51,55,2,170,343,597-5891
466,Alyssa,Chase,41,36,1,78,705,865-3085
467,Peter,Harris,72,116,1,204,825,483-9611
468,Colleen,Ramirez,45,193,4,134,905,715-1934
469,Emily,King,29,214,5,177,418,949-7442
470,Scott,Small,61,130,5,186,403,397-6057
471,Jessica,Cortez,20,287,2,47,819,188-2747
472,Jeremy,Garza,29,337,4,228,367,300-7605
473,Rachael,Davis,59,272,4,242,514,699-9467
474,Robin,Robertson,31,215,4,290,367,532-5468
475,Jennifer,Marshall,57,129,2,422,902,498-6282
476,Erin,Gonzalez,37,313,1,307,647,305-7232
477,Shannon,King,25,82,2,119,289,737-1630
478,Brenda,Taylor,70,349,4,352,705,804-6157
479,Xavier,Nguyen,70,234,1,182,514,204-8970
480,Jerry,Simpson,28,147,1,340,204,529-3512
481,Lindsey,Norris,46,14,3,226,873,783-6861
482,Brian,Cook,30,241,2,401,780,436-3548
483,Andrew,Osborne,40,61,3,131,639,137-6239
484,Nathaniel,Scott,59,276,3,300,431,598-6700
485,Michael,Banks,25,293,5,142,418,576-1362
486,William,Schultz,33,309,3,113,604,709-5104
487,Richard,West,23,313,1,386,343,717-9889
488,Brandi,Simpson,40,194,1,40,438,948-9030
489,Trevor,Diaz,61,78,5,159,613,477-9430
490,Elizabeth,Adams,76,226,4,381,519,149-2344
491,Heidi,Ball,26,136,1,374,613,950-9351
492,Jimmy,Camacho,51,210,4,268,587,484-1031
493,Patricia,Watson,81,138,1,332,705,832-8284
494,Joan,Gomez,30,133,4,284,249,881-7322
495,Anthony,Smith,20,18,5,165,819,179-8269
496,Jackson,Salinas,69,360,2,324,450,977-1624
497,Traci,Wolf,76,323,4,16,519,968-1348
498,James,Brown,32,135,4,271,782,687-2675
499,David,Lambert,56,327,4,188,581,213-8850
500,Zachary,Pacheco,46,100,4,227,236,340-3807
501,Brandon,Russell,66,267,3,362,867,229-8535
502,Timothy,Smith,59,131,1,4,506,312-2624
503,Jordan,Brooks,78,147,1,155,819,731-7435
504,Luke,Wilson,78,154,5,149,613,533-2700
505,Melissa,Olson,79,112,4,19,514,190-4112
506,Anthony,Keller,63,288,4,61,819,255-8459
507,Donald,Wade,26,172,1,423,709,384-4279
508,Nathan,Perkins,48,123,5,249,807,296-6512
509,Megan,Ochoa,67,184,5,349,289,184-4772
510,Mary,Martin,50,147,5,8,579,546-7095
511,Brent,Cross,70,231,4,102,250,437-5322
512,Lisa,Wood,74,343,4,176,873,560-5632
513,Jennifer,Cole,80,258,3,309,778,893-6820
514,Donald,Holmes,26,267,2,321,403,882-5043
515,Joseph,Bishop,79,195,1,211,782,333-8382
516,Jerome,Douglas,40,108,1,37,204,715-4799
517,George,Williams,41,292,3,115,236,813-4984
518,Jimmy,Vasquez,38,54,1,90,705,987-6265
519,Kaitlin,Carlson,54,230,4,105,709,753-1653
520,Travis,Medina,54,119,4,371,782,532-4450
521,Aaron,Stewart,68,235,2,301,249,856-1614
522,Shannon,Chen,68,142,5,145,782,289-5799
523,Ashley,Simmons,68,156,5,289,431,206-9011
524,Elizabeth,Brown,23,374,4,299,416,271-7250
525,Diane,Bowman,77,359,5,247,204,268-7291
526,Patrick,Reeves,37,232,2,47,780,218-1214
527,David,Roth,38,180,3,423,438,615-2548
528,Randy,Hicks,20,323,3,288,639,195-9729
529,Yvonne,Martin,39,113,3,197,437,432-2838
530,Alexandra,Smith,59,136,2,408,639,636-6955
