buyer_id,first_name,last_name,age,city_id,marital_status_id,job_id,area_code,phone_number
95,Debra,Martin,38,205,1,41,778,209-1261
96,Megan,Allen,42,364,3,267,613,514-9412
97,Bradley,Bell,18,302,2,7,905,375-6871
98,James,Gilbert,80,381,3,373,450,379-2075
99,Evelyn,Weber,60,356,5,139,780,953-5827
100,Lisa,Andrews,48,265,1,70,438,756-6728
101,Kathleen,Wyatt,27,94,2,204,705,380-3830
102,Megan,Flores,68,247,4,360,437,186-5148
103,John,Kelly,40,78,3,140,778,414-2749
104,Lee,Kelley,25,104,5,147,236,568-2203
105,Tara,Carter,43,37,4,68,579,340-1286
106,Debra,Gentry,37,159,1,333,226,628-1988
107,Jessica,Rivera,73,42,2,90,250,429-7956
108,Kenneth,Sanchez,45,387,2,244,365,965-5365
109,Jesus,Holland,30,14,4,353,579,514-1540
110,Ronald,Young,49,268,4,92,807,710-4168
111,Natasha,Rios,65,364,3,204,289,957-9361
112,Kimberly,Torres,75,224,1,56,236,830-4710
113,Shannon,Fowler,49,51,3,28,306,503-4596
114,Matthew,Mann,57,62,2,164,365,101-2281
115,Joseph,Gomez,28,353,2,31,226,556-3387
116,Michael,Reid,66,107,3,117,807,940-2152
117,Savannah,Benitez,76,126,4,424,604,776-7320
118,Cassandra,Roberts,24,247,4,311,519,388-3032
119,Lindsay,Rodriguez,80,132,3,109,450,580-6992
120,Deborah,Marshall,61,271,5,160,782,284-1570
121,Latoya,Key,30,37,4,34,431,881-7131
122,Robert,Martin,48,28,2,296,587,785-7351
123,Christine,Jones,48,371,2,138,604,954-5297
124,Lisa,Jones,65,293,2,286,365,412-5913
125,Christina,Atkins,49,165,2,426,365,894-3234
126,Dustin,Knox,23,186,5,30,249,876-9753
127,Jeff,Johnson,78,263,4,203,604,132-4263
128,Amanda,Berger,76,82,5,341,431,219-9704
129,Madeline,Orozco,71,342,3,137,204,469-5287
130,Patrick,Cook,32,11,2,312,905,780-7895
131,Frank,Lewis,49,115,3,318,867,860-4402
132,Dalton,Meyer,24,367,1,355,604,782-4123
133,Leslie,Campbell,57,15,2,287,418,365-3018
134,Anthony,Johnson,57,39,2,353,236,620-5217
135,Rebecca,Haynes,39,317,5,87,438,111-6764
136,James,Richardson,71,32,2,276,450,485-7193
137,Mark,Jones,26,1,1,368,807,289-1089
138,Jason,Weiss,21,2,1,255,613,816-7795
139,Leslie,Lee,34,65,1,292,902,129-2322
140,Brett,Copeland,33,324,3,219,250,660-1974
141,Ryan,Munoz,27,71,2,144,548,696-1504
142,Andrew,Flores,30,337,5,192,825,206-5690
143,Jade,Wright,20,233,5,85,226,170-4492
144,Maureen,Stark,42,235,2,303,204,908-3332
145,Antonio,Mills,52,115,5,246,204,277-7480
146,Jordan,Singh,32,120,3,75,873,977-1997
147,Pamela,Alvarez,57,188,4,244,905,102-6446
148,Abigail,Cardenas,49,195,4,335,514,573-7602
149,Alyssa,Pruitt,47,223,3,396,905,246-4302
150,Jeff,Kim,37,167,1,19,705,106-3057
151,Mark,Boyd,76,290,3,48,437,957-7497
152,Michael,Vasquez,48,140,2,271,418,777-3294
153,Julia,Brooks,34,366,2,36,709,991-5999
154,Linda,Ross,22,308,5,156,902,137-6022
155,Rhonda,Mcbride,69,18,1,184,416,791-1596
156,Roger,Adams,51,324,5,242,450,166-6928
157,Lindsay,Vasquez,68,343,4,49,418,395-4045
158,Anthony,Lopez,63,287,3,297,579,716-8309
159,Shelley,Farmer,59,43,1,392,613,721-6096
160,Eric,Miller,23,393,2,129,639,539-9354
161,Jennifer,Hogan,36,78,5,126,613,669-8630
162,Jacob,Byrd,65,196,2,23,819,601-8265
163,Ruth,Smith,69,201,2,37,506,860-1324
164,Mary,Harvey,49,197,1,19,403,526-3714
165,Christian,Thompson,63,134,1,285,249,911-9192
166,Carol,Clark,69,15,1,56,236,211-6823
167,Ryan,Rodriguez,21,84,3,309,367,538-1434
168,Kristi,Whitney,56,61,2,132,431,563-9274
169,Sean,Hernandez,20,126,4,308,236,620-8968
170,Edwin,Gomez,79,27,2,148,579,392-4794
171,Tina,Taylor,81,246,1,254,437,381-8066
172,Seth,Garcia,80,382,1,409,438,878-7164
173,Lisa,Wilson,28,18,2,179,867,798-3596
174,Brittney,Gibson,56,139,5,50,365,279-5378
175,Jeremiah,Baldwin,18,114,5,402,579,718-6739
176,Teresa,Little,55,34,4,388,450,178-8760
177,Amanda,Kim,69,308,4,22,519,590-2773
178,Lori,West,54,393,2,168,204,390-3319
179,Eric,Wallace,36,64,4,255,418,895-2352
180,Brian,Shannon,40,268,4,365,437,772-3509
181,John,Mitchell,41,333,5,13,343,593-6498
182,Dennis,Rosales,69,22,2,48,905,286-4269
183,Sarah,Smith,70,201,2,46,604,411-9262
184,Michael,Holmes,71,110,2,240,289,357-4619
185,Brianna,Williams,20,93,5,159,613,456-9655
186,Shannon,King,64,201,1,248,343,440-1130
187,Jennifer,Mcdonald,75,223,4,397,365,562-1750
188,Robert,Yoder,19,226,3,385,431,395-6777
189,Jennifer,Porter,61,149,1,280,873,366-9789
190,Jennifer,Robertson,57,376,2,186,403,438-8964
191,Emily,Webb,26,221,3,307,403,440-9048
192,Chris,Dunn,50,73,1,164,306,112-6550
193,Kelsey,Michael,29,316,2,358,780,966-2755
194,Jimmy,Black,33,292,3,84,780,483-7597
195,Desiree,Perry,64,65,5,234,647,137-7612
196,Neil,Miller,71,116,4,323,548,382-6402
197,Carla,Randolph,58,278,4,344,519,441-9147
198,Jessica,Johnson,57,380,5,305,204,922-4930
199,Jessica,Luna,76,97,2,423,450,508-7174
200,Lawrence,Colon,39,369,5,227,306,223-2301
201,Stacey,Chavez,39,380,5,268,519,482-5143
202,Eric,Greene,74,26,1,316,416,834-5879
203,Pedro,Walker,79,390,2,77,613,718-1991
204,Kari,Jordan,68,1,2,278,867,946-4558
205,Marc,Stevens,81,316,1,298,506,526-9471
206,Kayla,Blackwell,45,86,5,374,639,986-7996
207,Barbara,Goodman,65,336,3,17,807,417-9555
208,Daniel,Berry,62,353,5,104,819,399-8245
209,Miranda,Sanchez,66,240,2,382,548,947-3622
210,Andrew,Sanchez,79,172,2,338,249,767-7668
211,Amanda,Johnson,50,94,1,393,867,837-3090
212,Kelli,Davis,81,270,2,238,581,420-4977
213,Allison,Kane,57,102,3,421,819,412-4971
214,Mark,Kim,22,84,1,71,236,970-2786
215,Timothy,Perez,26,377,5,5,902,751-6994
216,Elizabeth,Willis,40,308,2,87,418,738-4866
217,Nicole,Chen,79,334,2,104,873,429-1479
218,Ashley,White,22,99,2,274,431,170-6946
219,Haley,Murray,73,371,2,54,438,490-2526
220,Brittany,Castro,51,26,1,286,514,223-8574
221,Rachel,Shepard,59,285,4,47,416,825-3782
222,Kayla,Olsen,34,291,1,246,905,577-1884
223,Thomas,Smith,72,339,3,134,587,900-6672
224,Leslie,Garza,49,358,1,149,519,782-2064
225,Jody,Wyatt,65,336,3,379,249,987-5043
226,Dominic,Morris,47,200,2,361,418,337-1378
227,Morgan,Booth,22,60,3,114,431,271-6276
228,Jack,Tran,72,274,1,204,506,725-7294
229,David,Tanner,24,11,2,162,306,558-7031
230,Noah,Allen,35,88,5,291,249,534-4280
231,Rachel,Dominguez,49,38,3,88,819,304-5516
232,Susan,Maynard,69,382,5,71,604,227-5263
233,David,Foster,57,3,3,250,819,540-1323
234,Lauren,Mccoy,60,208,4,36,289,671-8269
235,Molly,Dyer,63,209,3,161,581,806-7661
236,Stephanie,Nunez,39,225,2,416,587,761-5145
237,James,White,50,249,4,353,579,359-8866
238,Shawn,Townsend,55,368,3,83,780,739-3798
239,Lindsey,Kelley,75,55,4,285,873,578-7423
240,Timothy,Patel,64,149,5,208,639,494-4337
241,Lisa,Davis,59,128,1,89,902,337-7907
242,Janet,Stone,63,46,5,87,514,338-1984
243,Christopher,Garcia,58,17,1,386,289,195-3876
244,Michael,Carter,71,234,3,57,819,564-3236
245,April,Cunningham,77,246,1,261,780,719-1597
246,Monica,Jones,22,50,3,306,819,824-4575
247,Derrick,Rosales,41,40,5,260,548,777-3637
248,George,Rocha,55,382,4,90,249,716-8480
249,Brenda,Murray,49,142,5,385,289,391-8333
250,Matthew,Jones,74,29,3,333,873,179-6814
251,Linda,Browning,77,369,4,298,587,190-3151
252,Dennis,Hamilton,63,19,5,45,204,363-8174
253,Robert,Moore,31,327,1,209,450,443-2169
254,Chelsea,Molina,74,375,5,125,437,476-8944
255,Rodney,Marquez,29,146,5,374,519,415-3467
256,Angel,Diaz,72,283,3,331,437,374-4600
257,Amanda,Curtis,40,222,2,264,431,289-5496
258,Stephanie,Dougherty,21,294,1,31,604,554-1829
259,Maria,Ford,70,84,1,226,289,116-5231
260,Noah,Gould,80,276,2,291,236,858-5621
261,Randy,King,52,81,2,75,506,371-8300
262,Michelle,Norton,21,131,4,247,514,425-9657
263,David,Santana,81,28,3,22,780,285-3066
264,Valerie,Rivera,62,296,4,235,367,365-7874
265,Noah,Boyd,47,245,2,370,587,779-4262
266,Daniel,Smith,42,293,3,33,807,723-7684
267,Bridget,Moore,57,382,5,25,343,784-4158
268,Angel,Mueller,49,63,3,55,418,996-3512
269,Melissa,Sawyer,26,295,2,234,418,363-9903
270,Angela,Camacho,50,209,3,385,204,805-8157
271,Darren,Mason,74,358,1,165,519,121-9831
272,Cindy,Lewis,45,112,2,308,289,866-9976
273,Lindsey,Cooper,54,320,2,230,581,247-1476
274,Christopher,Mcintyre,53,83,4,302,819,679-9739
275,Emma,Moore,35,148,2,101,514,222-5316
276,Joseph,Fischer,33,223,5,227,902,876-2724
277,Linda,Coleman,28,58,2,178,579,287-7021
278,David,Carpenter,69,246,2,260,306,844-5546
279,William,White,61,386,1,194,306,152-9468
280,Laura,Lane,63,153,3,234,403,128-3742
281,Daniel,Brandt,64,305,1,311,647,433-6853
282,Veronica,Gonzalez,29,58,5,236,587,908-4510
283,Charles,Sandoval,62,306,1,47,450,658-2273
284,Leonard,Turner,81,146,1,410,807,977-8404
285,Steven,Lynch,43,265,1,138,506,247-8282
286,Sharon,Hinton,21,184,4,248,709,786-7125
287,Matthew,Chen,47,269,3,192,902,491-8823
288,Meagan,Hicks,33,320,5,159,437,788-3019
289,Michael,Wright,33,40,1,76,416,926-2929
290,Sophia,Hunt,27,294,3,205,905,724-4164
291,John,Webb,34,214,4,166,403,558-2863
292,Isaiah,Flores,79,120,1,126,905,214-9840
293,Colin,Hartman,65,370,5,374,579,522-3716
294,Christopher,Williams,74,332,1,429,438,131-3781
295,Michael,Bradley,79,218,4,281,306,894-8433
296,Stacey,Bernard,57,277,3,342,709,831-9821
297,Caitlin,Adams,53,19,3,175,548,480-1743
298,Carla,Watts,28,317,4,163,418,941-7377
299,Lisa,Jackson,58,106,1,421,782,286-1264
300,Anthony,Campbell,55,126,3,64,782,218-6870
301,Scott,Stevenson,75,96,1,224,431,466-1828
302,Jamie,Atkinson,20,309,1,305,639,761-3502
303,Sean,Harper,69,229,4,384,709,811-4471
304,Eric,Peterson,46,220,3,358,873,246-8799
305,Angela,Sullivan,42,369,3,22,418,271-6666
306,Linda,Kelley,52,45,1,190,236,425-6194
307,Adam,Cantrell,46,63,2,184,418,565-9413
308,Sara,Johnson,81,223,5,408,905,260-7839
309,Katie,Nelson,30,282,2,298,807,763-9744
310,Martha,Gaines,71,115,1,97,902,764-9956
311,Danny,Ferguson,79,23,1,166,289,931-3922
312,Mark,Bird,32,208,2,421,705,885-9171
313,Edward,Wilson,75,70,3,33,403,773-9005
314,Robert,Barnes,34,212,2,80,905,106-5526
315,Jimmy,Thomas,56,261,3,113,709,354-6233
316,Paul,Moreno,18,122,5,301,819,351-3245
317,Victoria,Flynn,58,82,5,266,506,518-6901
318,Patricia,Boyd,30,336,3,82,365,330-7091
319,Samantha,Harmon,74,384,4,345,709,541-3029
320,Melinda,Fitzgerald,49,13,3,363,236,737-3717
321,Benjamin,Jacobson,20,109,4,50,613,515-1435
322,Thomas,Mitchell,65,305,1,257,450,913-2600
323,Erika,Archer,44,110,3,209,873,528-9547
324,Chad,Smith,77,241,1,63,905,598-1775
325,Linda,Bradley,66,64,1,370,782,447-4804
326,Joseph,Williams,20,259,3,408,613,333-6789
327,Nicholas,Todd,19,193,4,22,548,335-5727
328,David,Flynn,78,326,1,353,418,601-9734
329,Nicole,Maddox,74,177,2,366,431,168-2762
330,Richard,Pennington,20,159,3,102,709,867-9728
331,Tiffany,Leach,64,129,3,83,367,392-6888
332,Kevin,Nunez,65,29,3,422,403,283-3711
333,Sierra,Fitzgerald,66,8,5,280,438,367-3618
334,Ernest,Kemp,33,324,1,132,579,370-8498
335,Ivan,Chavez,32,369,5,227,367,253-1735
336,Sharon,Rivera,29,163,1,63,431,443-2919
337,Becky,Dennis,20,94,4,148,226,788-4362
338,Brandon,Coleman,32,379,5,111,867,295-1435
339,Ann,Frederick,41,26,3,384,867,504-5858
340,Julie,Richardson,76,52,4,67,778,366-9925
341,Joyce,Love,32,361,4,221,782,769-7476
342,Molly,Foster,29,212,1,116,250,712-3215
343,Meredith,Burke,73,320,4,77,873,902-6668
344,Charles,Watkins,65,155,5,141,506,245-3391
345,Michael,Marsh,40,307,1,320,905,868-9125
346,Dalton,Rowe,35,319,3,300,306,877-6484
347,Anthony,Martinez,41,335,3,177,519,890-1123
348,Rick,Evans,53,187,1,356,705,573-7415
349,Catherine,Turner,26,198,2,57,306,102-1855
350,Tara,Berry,52,196,3,322,226,135-9045
351,Joshua,Wagner,34,295,4,409,450,809-3478
352,Chelsea,Nelson,68,137,4,420,778,644-3097
353,Gavin,Bailey,37,372,4,69,825,263-2480
354,Traci,Mitchell,37,331,5,121,867,679-8152
355,Lisa,Johnson,50,307,5,82,514,100-4031
356,Cheryl,Mcdaniel,65,85,4,130,782,127-6085
357,Troy,Porter,62,74,4,255,647,268-2648
358,Jon,Chase,20,109,2,397,438,735-8697
359,Kenneth,Brown,34,42,3,402,226,943-5327
360,Diana,Wilson,29,14,2,152,873,888-6682
361,Steven,Phillips,23,17,2,392,647,724-6028
362,Jordan,Powell,60,152,5,408,431,134-1127
363,Jennifer,Austin,76,51,1,293,365,833-7621
364,Kimberly,Graham,73,284,3,101,778,778-5781
365,Sandra,Wilson,75,144,4,78,548,375-8261
366,Matthew,Ramos,71,73,3,237,236,148-1088
367,Daniel,Olsen,53,96,2,38,250,166-3108
368,Isaiah,Wood,38,120,3,75,431,840-7756
369,Calvin,Clark,44,292,3,74,548,820-3860
370,Stephen,Blackburn,20,221,2,94,236,219-7293
371,Tiffany,Chan,56,168,1,152,519,112-4256
372,Kristi,Thomas,28,111,5,158,905,542-6716
373,Kevin,Russo,29,63,1,58,367,494-5024
374,Linda,Long,45,183,5,66,450,858-8848
375,Brandy,Hughes,53,375,4,136,519,758-9781
376,Walter,Andrade,47,271,1,42,548,865-7088
377,Mark,Washington,42,132,1,153,579,518-6420
378,Mary,Roberts,67,109,4,414,289,628-6255
379,Thomas,Bright,71,166,5,25,905,824-8507
380,William,Simpson,55,16,2,417,226,447-5695
381,Katie,Rodriguez,61,115,1,54,639,320-9334
382,Erik,Browning,77,288,4,13,367,147-9920
383,Caroline,Cook,37,371,3,323,613,211-5458
384,Stacey,Clark,50,147,2,233,249,698-5612
385,Stephen,Garcia,66,80,2,303,450,979-1836
386,Kristopher,Chandler,71,222,4,79,905,612-6962
387,Brian,Wyatt,20,87,4,235,306,258-7390
388,Robert,Mitchell,60,326,1,281,709,245-1742
389,Brent,Chambers,67,1,2,68,367,149-2108
390,Jeremy,Johnson,65,26,1,110,902,556-3872
391,Stephanie,Obrien,30,274,1,153,249,119-5048
392,Paul,Quinn,38,182,3,43,782,573-4194
393,Rebecca,Sanchez,61,161,3,121,587,823-1529
394,Danielle,Wise,63,264,5,404,579,265-1504
395,Anita,Little,45,28,3,55,249,678-3357
396,Garrett,Lewis,44,241,5,421,403,639-3304
397,John,Bridges,76,110,3,306,579,446-6878
398,Amy,Reese,71,314,5,202,873,999-3681
399,Daniel,Johnson,27,353,3,225,236,825-3023
400,Ryan,Abbott,44,304,5,255,289,353-3375
401,Christopher,Duffy,27,38,4,388,581,561-1626
402,Alex,Jones,75,81,2,148,587,924-2530
403,Kevin,Parker,42,134,2,407,905,407-6524
404,Stephen,Mcbride,55,354,2,57,581,355-7860
405,Jacob,Davis,37,294,3,358,902,890-9179
406,Catherine,Frazier,63,238,1,266,403,669-3161
407,Wendy,Ramsey,66,346,5,289,581,434-3522
408,Jessica,Nguyen,60,111,2,25,587,137-3710
409,Tammy,Douglas,70,93,1,240,613,277-4898
410,Brian,Peters,23,351,4,34,226,742-9344
411,Jason,Henderson,28,191,5,430,548,559-9888
412,Wanda,Baker,23,242,2,336,250,511-3033
413,Ellen,Miller,66,87,4,186,306,508-5494
414,Jonathan,Foster,41,64,1,157,705,684-9240
415,Katherine,Clark,78,250,2,66,867,363-3264
416,Dustin,Black,47,79,2,183,431,327-4321
417,Michelle,Anderson,18,173,1,182,416,358-6085
418,Brian,Scott,47,81,3,29,825,190-2391
419,Tammy,Hansen,20,337,3,201,825,354-2647
420,Michael,Nichols,67,48,3,126,418,528-7658
421,Thomas,Townsend,42,74,1,325,613,575-6354
422,Kimberly,Bryan,33,88,1,271,403,210-6980
423,Pamela,Weaver,30,282,2,213,647,704-7019
424,Christopher,Cain,27,228,4,207,367,744-2812
425,Tyrone,Olson,21,158,2,382,647,279-9540
426,Jacob,Zavala,51,367,1,205,519,933-1336
427,Kristy,Casey,36,227,5,343,825,230-3391
428,Felicia,Aguirre,50,87,1,393,825,195-2045
429,Joshua,Hernandez,48,54,1,232,548,683-5954
430,Jimmy,Stevens,70,31,4,219,873,726-7149
431,Jessica,Warner,45,270,3,327,418,403-5082
432,Kristina,Lewis,58,350,5,285,418,370-1488
433,Seth,Contreras,65,212,2,103,604,638-2491
434,Renee,Warren,51,202,2,431,343,623-2656
435,Michael,Ward,65,192,5,265,905,263-3756
436,Emily,Thomas,38,388,3,406,204,284-7322
437,Melinda,Lawson,27,267,1,172,367,557-6169
438,Margaret,Blankenship,78,244,1,318,204,391-9630
439,Antonio,Gould,54,327,3,309,250,522-8567
440,April,Duke,20,144,5,180,780,472-5514
441,Meagan,Soto,33,239,3,420,867,322-2803
442,Susan,Moyer,33,394,5,183,778,368-1955
443,William,Weeks,60,298,2,323,579,222-2044
444,Mark,Reynolds,59,225,5,117,819,284-6840
445,Matthew,Fisher,68,251,5,110,579,554-9835
446,Nicholas,Medina,31,74,2,159,780,342-6958
447,Michael,Ross,48,344,1,328,514,853-8238
448,Angela,Smith,39,339,5,171,647,187-1976
449,Mark,Mclaughlin,74,123,2,197,709,895-4744
450,Sabrina,Baldwin,27,185,3,355,367,646-4388
451,Kayla,Singh,45,139,2,195,437,666-9083
452,Mark,Young,57,91,4,200,450,755-8825
453,Samuel,Bolton,57,302,4,163,431,729-8833
454,Jon,Lopez,22,305,2,240,587,991-7685
455,Sarah,Lee,69,276,1,227,613,347-3119
456,Brandi,Campbell,28,299,3,382,519,245-2776
457,Elizabeth,Price,28,304,1,1,519,663-6921
458,Eric,Harris,71,108,2,57,639,853-3276
459,Michael,Ayala,64,210,2,273,437,904-7819
460,Jeremy,Casey,60,23,3,76,416,663-9882
461,Ashley,Blackwell,51,221,3,398,306,563-5528
462,Tony,Oliver,40,393,1,348,613,969-7797
463,Crystal,Jones,32,110,2,381,416,323-4937
464,Jacqueline,Bass,21,83,5,170,581,504-9773
465,Jill,Chapman,56,177,1,299,782,715-5381
466,Kristine,Jenkins,46,128,1,162,403,579-8525
467,James,Rojas,32,63,5,345,709,906-4000
468,Daniel,Thompson,29,55,4,391,819,245-9392
469,Michael,Wallace,69,183,4,306,506,842-2187
470,Anita,Wheeler,28,248,2,262,807,332-5450
471,Jimmy,Daugherty,54,360,2,430,873,765-1290
472,Edwin,Singleton,79,356,1,233,431,577-4411
473,Aaron,Henson,33,302,1,120,289,204-7851
474,Christopher,Walter,65,19,1,257,289,608-6786
475,Brett,Bailey,39,227,2,85,416,676-7441
476,Lisa,Rios,53,105,4,266,343,940-8619
477,Carmen,Turner,46,240,5,34,250,614-8157
478,Luis,Harris,40,379,5,397,905,385-1100
479,Keith,Hanson,18,282,2,268,705,897-8960
480,Christopher,Pugh,19,29,2,234,514,239-4103
481,Jackie,Nguyen,31,150,1,320,514,304-6108
482,Sandy,Soto,34,245,2,343,289,864-1007
483,Sabrina,Cochran,78,59,5,136,437,731-7925
484,Susan,Neal,69,371,5,79,306,375-8078
485,Ryan,Taylor,57,220,2,304,250,430-3176
486,Thomas,Cohen,43,318,5,103,581,581-1915
487,Jonathan,Martinez,55,16,1,239,365,214-3662
488,Samuel,Perez,34,111,4,58,587,545-4025
489,Megan,Wilson,76,55,4,283,306,621-2674
490,Keith,Chapman,47,188,3,392,367,742-5671
491,Paul,Morales,51,344,4,65,604,626-6059
492,Leslie,Powers,34,17,3,410,604,115-6037
493,Cassandra,Patterson,31,235,4,401,782,410-2432
494,Christopher,Sharp,31,225,5,148,613,505-1232
495,Lisa,Carter,26,352,1,12,581,760-2830
496,Nicholas,Turner,29,162,5,427,825,192-3289
497,Isabel,Johnston,68,35,3,87,604,184-3373
498,Patricia,Carlson,62,139,1,333,250,828-6492
499,Christopher,Barber,33,17,2,57,418,858-6181
500,Damon,Duncan,78,239,5,405,236,727-3584
501,James,Griffin,28,50,3,193,819,729-8019
502,Cassandra,Brown,63,171,5,335,437,380-1634
503,Sean,Mitchell,23,259,4,231,306,821-5890
504,Sandra,Parker,37,241,1,276,431,678-5219
505,Michael,Bender,29,385,3,391,819,791-5388
506,Richard,Price,53,167,4,118,403,661-1231
507,Sara,Yates,66,163,1,268,705,720-7082
508,Nicole,Vargas,64,314,5,6,431,714-4864
509,Wendy,Mcintyre,56,269,5,92,647,189-9984
510,Sherri,Jones,27,316,4,195,367,152-9468
511,Amanda,Finley,30,43,3,291,204,782-6048
512,Robert,Cook,31,112,3,77,819,758-1664
513,Jill,Parks,70,96,3,193,365,569-3061
514,Ronald,Cortez,65,218,5,411,587,943-1511
515,Sabrina,Patterson,28,174,5,86,367,439-1989
516,Phillip,Smith,18,224,2,402,548,553-6627
517,Yolanda,Martin,38,319,2,297,438,978-1943
518,Kayla,Fuller,67,162,3,90,548,801-4104
519,Jennifer,Williams,57,272,2,56,807,982-7056
520,Benjamin,Hernandez,28,225,4,219,437,643-6476
521,Ana,Smith,51,276,1,189,782,760-5870
522,Michael,Saunders,34,203,1,341,782,797-9666
523,Gerald,Hernandez,23,43,4,62,437,131-6757
524,Amanda,Hogan,67,254,1,198,548,674-8276
525,Michael,Lee,43,355,2,167,905,630-3334
526,Patricia,Young,54,2,2,102,306,731-9544
527,Micheal,Choi,20,148,5,121,825,447-7121
528,Michael,Hancock,48,243,2,406,639,473-7768
